timestamp,value,user_agent,type,device_type,page,activity
1664083776037,0.0,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",lowpowermode,iOS,,
1664109665516,,,open_page,,feed,
1664109668869,,,open_page,,feed,
1664109674051,,,open_page,,,
1664138863792,,,open_page,,feed,
1664138868763,,,open_page,,feed,
1664138870201,,,open_page,,feed,
1664138871630,,,open_page,,learn,
1664138875014,,,open_page,,assess,
1664138877231,,,open_page,,manage,
1664138879802,,,open_page,,portal,
1664138883108,,,open_page,,feed,
1664138915859,,,open_page,,feed,qeyb2b4anm05a3ndn5em
1664138916247,,,open_page,,feed,
1664138922098,,,open_page,,,
1664155236305,,,open_page,,feed,
1664155243655,,,open_page,,feed,
1664155246393,,,open_page,,,
