timestamp,action,device_token,device_type,user_agent,type,page,activity
1666281573472,login,fN6OccspQd-XsNBesYOSfF:APA91bGxRCplVeeMA23JDsB3cnRCXGn0Nb1qmQW2dGSPkKYCRFrEtzNydD5OU4tZatEKnPRMa3NrlwTwAYRskQht45zz5cMqSBcXx0yrJkzo4MwLWWBXsAs3RXRQPohwR_bIyMBGquXw,Android,NativeCore 2022.4.25; Android 9; samsung; SM-G955U,,,
1666281574434,,,,,open_page,assess,
1666281608029,,,,,open_page,assess,9k5z0kej6zh3r5q1f6k9
1666281615677,,,,,open_page,assess,
1666281715016,,,,,open_page,assess,15hx8jca34cesf051nsf
1666281722926,,,,,open_page,assess,
1666281764510,,,,,open_page,assess,egq26737wt9twne0kmt5
1666281772190,,,,,open_page,assess,
1666281856043,,,,,open_page,assess,0zhdsrc5c1mjtt6kk03z
1666281863933,,,,,open_page,assess,
1666281991400,,,,,open_page,assess,671gs46cyvr2xzrxydv1
1666281999100,,,,,open_page,assess,
1666282016092,,,,,open_page,assess,
1666282017694,,,,,open_page,,
