timestamp,type,device_token,device_type,user_agent,page,activity
1667830430229,login,fN6OccspQd-XsNBesYOSfF:APA91bGxRCplVeeMA23JDsB3cnRCXGn0Nb1qmQW2dGSPkKYCRFrEtzNydD5OU4tZatEKnPRMa3NrlwTwAYRskQht45zz5cMqSBcXx0yrJkzo4MwLWWBXsAs3RXRQPohwR_bIyMBGquXw,Android,NativeCore 2022.9.13_2; Android 9; samsung; SM-G955U,,
1667830438472,open_page,,,,assess,
1667830469714,open_page,,,,assess,9k5z0kej6zh3r5q1f6k9
1667830476287,open_page,,,,assess,
1667830576211,open_page,,,,assess,15hx8jca34cesf051nsf
1667830582510,open_page,,,,assess,
1667830609655,open_page,,,,assess,egq26737wt9twne0kmt5
1667830616265,open_page,,,,assess,
1667830710055,open_page,,,,assess,0zhdsrc5c1mjtt6kk03z
1667830710936,open_page,,,,assess,
1667830821869,open_page,,,,assess,671gs46cyvr2xzrxydv1
1667830822838,open_page,,,,assess,
1667830835462,open_page,,,,,
1667843549204,login,fN6OccspQd-XsNBesYOSfF:APA91bGxRCplVeeMA23JDsB3cnRCXGn0Nb1qmQW2dGSPkKYCRFrEtzNydD5OU4tZatEKnPRMa3NrlwTwAYRskQht45zz5cMqSBcXx0yrJkzo4MwLWWBXsAs3RXRQPohwR_bIyMBGquXw,Android,NativeCore 2022.9.13_2; Android 9; samsung; SM-G955U,,
1667843555759,open_page,,,,assess,
1667843568172,open_page,,,,,
