timestamp,user_agent,type,device_token,device_type,page,activity,value
1663957022885,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1663957023152,,open_page,,,assess,,
1663957033274,,open_page,,,portal,,
1663957037192,,open_page,,,feed,,
1663957039793,,open_page,,,learn,,
1663957041128,,open_page,,,assess,,
1663957125292,,open_page,,,assess,f6e60sq8dj3r8g9bvnnz,
1663957125636,,open_page,,,assess,,
1663957178069,,open_page,,,assess,dazesjfy1pk2mawnr9ta,
1663957178466,,open_page,,,assess,,
1663957289440,,open_page,,,assess,fmaextcsmtyejnvebn01,
1663957289819,,open_page,,,assess,,
1663957310152,,open_page,,,assess,w3f34pqmw0pft0sjm4q9,
1663957310449,,open_page,,,assess,,
1663957336933,,open_page,,,assess,6xkvk5prh0avsac3graf,
1663957337292,,open_page,,,assess,,
1663957347344,,open_page,,,assess,,
1663957374091,,open_page,,,,,
1663957443770,,open_page,,,assess,,
1663957454671,,open_page,,,feed,,
1663957465601,,open_page,,,learn,,
1663957475151,,open_page,,,assess,,
1663957483524,,open_page,,,manage,,
1663957499514,,open_page,,,assess,,
1663957610321,,open_page,,,assess,6xkvk5prh0avsac3graf,
1663957610824,,open_page,,,assess,,
1663957674072,,open_page,,,,,
1663958128493,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1663958130430,,open_page,,,assess,,
1663988797374,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",lowpowermode,,iOS,,,1.0
