User,Week,Week Number,Survey,Question,Response
User1,1/1/2023,1,Mood,Question 1,Hi
User1,1/1/2023,1,Mood,Question 2,1
User1,1/1/2023,1,Mood,Question 3,2
User1,1/1/2023,1,Mood,Question 4,1
User1,1/1/2023,1,Mood,Question 5,3
User1,1/1/2023,1,Mood,Question 6,3
User1,1/1/2023,1,Mood,Question 7,1
User1,1/1/2023,1,Mood,Question 8,1
User1,1/1/2023,1,Mood,Question 9,Hi
User1,1/1/2023,1,Satisfaction,Question 1,5
User1,1/1/2023,1,Satisfaction,Question 2,2
User1,1/1/2023,1,Satisfaction,Question 3,3
User1,1/1/2023,1,Satisfaction,Question 4,1
User1,1/1/2023,1,Satisfaction,Question 5,5
User1,1/1/2023,1,Satisfaction,Question 6,1
User1,1/1/2023,1,Satisfaction,Question 7,2
User1,1/1/2023,1,Satisfaction,Question 8,2
User1,1/1/2023,1,Satisfaction,Question 9,3
User1,1/1/2023,1,Satisfaction,Question 10,1
User1,1/1/2023,1,Resilience,Question 1,2
User1,1/1/2023,1,Resilience,Question 2,1
User1,1/1/2023,1,Resilience,Question 3,2
User1,1/1/2023,1,Resilience,Question 4,4
User1,1/1/2023,1,Resilience,Question 5,1
User1,1/1/2023,1,Resilience,Question 6,1
User1,1/1/2023,1,Resilience,Question 7,4
User1,1/1/2023,1,Resilience,Question 8,1
User1,1/1/2023,1,Critical Events,Question 1,1
User1,1/1/2023,1,Critical Events,Question 2,1
User1,1/1/2023,1,Critical Events,Question 3,1
User1,1/1/2023,1,Critical Events,Question 4,1
User1,1/1/2023,1,Critical Events,Question 5,0
User1,1/1/2023,1,Critical Events,Question 6,0
User1,1/1/2023,1,Critical Events,Question 7,1
User1,1/1/2023,1,Critical Events,Question 8,0
User1,1/1/2023,1,Critical Events,Question 9,1
User1,1/1/2023,1,Critical Events,Question 10,0
User1,1/8/2023,2,Mood,Question 1,2
User1,1/8/2023,2,Mood,Question 2,0
User1,1/8/2023,2,Mood,Question 3,0
User1,1/8/2023,2,Mood,Question 4,2
User1,1/8/2023,2,Mood,Question 5,1
User1,1/8/2023,2,Mood,Question 6,0
User1,1/8/2023,2,Mood,Question 7,2
User1,1/8/2023,2,Mood,Question 8,0
User1,1/8/2023,2,Mood,Question 9,3
User1,1/8/2023,2,Satisfaction,Question 1,5
User1,1/8/2023,2,Satisfaction,Question 2,4
User1,1/8/2023,2,Satisfaction,Question 3,3
User1,1/8/2023,2,Satisfaction,Question 4,3
User1,1/8/2023,2,Satisfaction,Question 5,3
User1,1/8/2023,2,Satisfaction,Question 6,2
User1,1/8/2023,2,Satisfaction,Question 7,1
User1,1/8/2023,2,Satisfaction,Question 8,1
User1,1/8/2023,2,Satisfaction,Question 9,5
User1,1/8/2023,2,Satisfaction,Question 10,3
User1,1/8/2023,2,Resilience,Question 1,4
User1,1/8/2023,2,Resilience,Question 2,1
User1,1/8/2023,2,Resilience,Question 3,3
User1,1/8/2023,2,Resilience,Question 4,5
User1,1/8/2023,2,Resilience,Question 5,4
User1,1/8/2023,2,Resilience,Question 6,5
User1,1/8/2023,2,Resilience,Question 7,5
User1,1/8/2023,2,Resilience,Question 8,1
User1,1/8/2023,2,Critical Events,Question 1,1
User1,1/8/2023,2,Critical Events,Question 2,1
User1,1/8/2023,2,Critical Events,Question 3,1
User1,1/8/2023,2,Critical Events,Question 4,0
User1,1/8/2023,2,Critical Events,Question 5,0
User1,1/8/2023,2,Critical Events,Question 6,1
User1,1/8/2023,2,Critical Events,Question 7,0
User1,1/8/2023,2,Critical Events,Question 8,1
User1,1/8/2023,2,Critical Events,Question 9,1
User1,1/8/2023,2,Critical Events,Question 10,1
User1,1/15/2023,3,Mood,Question 1,2
User1,1/15/2023,3,Mood,Question 2,0
User1,1/15/2023,3,Mood,Question 3,1
User1,1/15/2023,3,Mood,Question 4,3
User1,1/15/2023,3,Mood,Question 5,0
User1,1/15/2023,3,Mood,Question 6,1
User1,1/15/2023,3,Mood,Question 7,2
User1,1/15/2023,3,Mood,Question 8,2
User1,1/15/2023,3,Mood,Question 9,1
User1,1/15/2023,3,Satisfaction,Question 1,2
User1,1/15/2023,3,Satisfaction,Question 2,5
User1,1/15/2023,3,Satisfaction,Question 3,5
User1,1/15/2023,3,Satisfaction,Question 4,1
User1,1/15/2023,3,Satisfaction,Question 5,5
User1,1/15/2023,3,Satisfaction,Question 6,5
User1,1/15/2023,3,Satisfaction,Question 7,3
User1,1/15/2023,3,Satisfaction,Question 8,3
User1,1/15/2023,3,Satisfaction,Question 9,2
User1,1/15/2023,3,Satisfaction,Question 10,4
User1,1/15/2023,3,Resilience,Question 1,1
User1,1/15/2023,3,Resilience,Question 2,1
User1,1/15/2023,3,Resilience,Question 3,4
User1,1/15/2023,3,Resilience,Question 4,2
User1,1/15/2023,3,Resilience,Question 5,1
User1,1/15/2023,3,Resilience,Question 6,4
User1,1/15/2023,3,Resilience,Question 7,5
User1,1/15/2023,3,Resilience,Question 8,2
User1,1/15/2023,3,Critical Events,Question 1,1
User1,1/15/2023,3,Critical Events,Question 2,0
User1,1/15/2023,3,Critical Events,Question 3,0
User1,1/15/2023,3,Critical Events,Question 4,1
User1,1/15/2023,3,Critical Events,Question 5,1
User1,1/15/2023,3,Critical Events,Question 6,1
User1,1/15/2023,3,Critical Events,Question 7,1
User1,1/15/2023,3,Critical Events,Question 8,1
User1,1/15/2023,3,Critical Events,Question 9,0
User1,1/15/2023,3,Critical Events,Question 10,1
User1,1/22/2023,4,Mood,Question 1,1
User1,1/22/2023,4,Mood,Question 2,0
User1,1/22/2023,4,Mood,Question 3,0
User1,1/22/2023,4,Mood,Question 4,3
User1,1/22/2023,4,Mood,Question 5,1
User1,1/22/2023,4,Mood,Question 6,3
User1,1/22/2023,4,Mood,Question 7,3
User1,1/22/2023,4,Mood,Question 8,0
User1,1/22/2023,4,Mood,Question 9,3
User1,1/22/2023,4,Satisfaction,Question 1,1
User1,1/22/2023,4,Satisfaction,Question 2,1
User1,1/22/2023,4,Satisfaction,Question 3,4
User1,1/22/2023,4,Satisfaction,Question 4,5
User1,1/22/2023,4,Satisfaction,Question 5,4
User1,1/22/2023,4,Satisfaction,Question 6,4
User1,1/22/2023,4,Satisfaction,Question 7,3
User1,1/22/2023,4,Satisfaction,Question 8,4
User1,1/22/2023,4,Satisfaction,Question 9,5
User1,1/22/2023,4,Satisfaction,Question 10,1
User1,1/22/2023,4,Resilience,Question 1,2
User1,1/22/2023,4,Resilience,Question 2,1
User1,1/22/2023,4,Resilience,Question 3,4
User1,1/22/2023,4,Resilience,Question 4,1
User1,1/22/2023,4,Resilience,Question 5,4
User1,1/22/2023,4,Resilience,Question 6,4
User1,1/22/2023,4,Resilience,Question 7,1
User1,1/22/2023,4,Resilience,Question 8,4
User1,1/22/2023,4,Critical Events,Question 1,1
User1,1/22/2023,4,Critical Events,Question 2,0
User1,1/22/2023,4,Critical Events,Question 3,0
User1,1/22/2023,4,Critical Events,Question 4,1
User1,1/22/2023,4,Critical Events,Question 5,0
User1,1/22/2023,4,Critical Events,Question 6,1
User1,1/22/2023,4,Critical Events,Question 7,1
User1,1/22/2023,4,Critical Events,Question 8,0
User1,1/22/2023,4,Critical Events,Question 9,0
User1,1/22/2023,4,Critical Events,Question 10,0
User1,1/29/2023,5,Mood,Question 1,3
User1,1/29/2023,5,Mood,Question 2,3
User1,1/29/2023,5,Mood,Question 3,1
